SCORE:3100
LIVES:0
PHASE:2
CURRENT_SPEED:5.4
AVAIBLE_COLORS:3
PLAYER:352.6552499999986;-2000.0;0
OBSTACLE:StandardObstacle;589.606741558308;82.20000000000009;5.4;0;57;60
OBSTACLE:StandardObstacle;423.5183774746598;341.3999999999999;5.4;2;51;72
OBSTACLE:StandardObstacle;106.7422868766947;438.5999999999995;5.4;2;63;88
OBSTACLE:StandardObstacle;130.7131329812484;330.59999999999997;5.4;2;93;90
OBSTACLE:StandardObstacle;87.66032165799464;757.1999999999982;5.4;2;86;69
OBSTACLE:StandardObstacle;2.5928276142768687;416.9999999999996;5.4;0;87;54
OBSTACLE:StandardObstacle;265.0122417539692;762.5999999999982;5.4;1;73;88
OBSTACLE:StandardObstacle;150.55772105330948;98.4000000000001;5.4;0;79;74
OBSTACLE:StandardObstacle;547.1891332838462;433.19999999999953;5.4;0;73;54
OBSTACLE:StandardObstacle;518.190157254827;719.3999999999984;5.4;0;98;59
OBSTACLE:StandardObstacle;40.06120199540499;298.2000000000001;5.4;1;86;55
OBSTACLE:StandardObstacle;595.6160854457333;163.20000000000016;5.4;0;77;55
OBSTACLE:StandardObstacle;556.9482317413061;-79.79999999999993;5.4;1;82;92
OBSTACLE:StandardObstacle;536.1194280509964;271.2000000000002;5.4;2;52;80
OBSTACLE:StandardObstacle;202.1567179049132;659.9999999999986;5.4;2;86;62
OBSTACLE:SpeedRacer;249.3625736548823;295.49999999999994;8.100000000000001;2;50;100
OBSTACLE:SpeedRacer;344.7477846336664;92.99999999999994;8.100000000000001;1;50;100
OBSTACLE:SpeedRacer;230.83464888930854;11.999999999999957;8.100000000000001;2;50;100
OBSTACLE:SpeedRacer;405.1958106961586;-77.10000000000005;8.100000000000001;2;50;100
OBSTACLE:SpeedRacer;19.13888659009142;822.0000000000014;8.100000000000001;0;50;100
OBSTACLE:SpeedRacer;621.9884651953205;684.300000000001;8.100000000000001;1;50;100
OBSTACLE:SpeedRacer;481.024356967519;238.79999999999984;8.100000000000001;0;50;100
OBSTACLE:SpeedRacer;318.93823257911373;579.0000000000007;8.100000000000001;2;50;100
OBSTACLE:SpeedRacer;626.1228034535014;498.0000000000005;8.100000000000001;0;50;100
OBSTACLE:SpeedRacer;371.93378270529115;489.9000000000005;8.100000000000001;1;50;100
